"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",39,8800,9100,9400,9500,9900,10000,102000,102000,102000
"POST /",34,4600,4800,5400,5500,11000,290000,290000,290000,290000
"GET /analysis.html",2,850,850,850,850,850,850,850,850,850
"GET /compare.html",6,1000,1000,1300,1300,13000,13000,13000,13000,13000
"GET /measure.html",12,770,770,790,790,800,820,820,820,820
"POST /measureResults.html",4,2600,2600,3700,3700,3700,3700,3700,3700,3700
"GET /movers.html",15,73,77,83,83,99,130,130,130,130
"GET /prediction.html",4,370,370,370,370,370,370,370,370,370
"Total",116,4100,5700,8500,8900,9600,11000,102000,290000,290000
