"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",6,2,45000,41020,6947,53216,3079,0.02
"POST","/",4,2,11000,12696,10000,15166,2524,0.01
"GET","/analysis.html",3,14,3800,23398,3111,63304,52051,0.01
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",2,1,8300,8577,8275,8878,3508345,0.01
"GET","/compare.html",5,22,3900,24994,159,102323,108007,0.02
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",0,2,0,0,0,0,0,0.00
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",0,1,0,0,0,0,0,0.00
"GET","/measure.html",10,35,180,14738,88,69303,46265,0.03
"POST","/measureResults.html",4,4,2000,4208,282,10055,2595093,0.01
"GET","/movers.html",5,33,100,2754,73,8577,3745,0.02
"POST","/moversResult.html",1,2,77000,76603,76603,76603,14862,0.00
"GET","/prediction.html",3,12,14000,26642,100,65788,40365,0.01
"POST","/predictionResult.html",1,2,1600,1554,1554,1554,3450935,0.00
"None","Total",44,132,6900,19211,73,102323,504320,0.15
